source,metric,value,context,run,seed,corrupt_source,lap_n,depression_strength,strictness,hold_off,batch_size,noise_level,n_corrupt_sources
10.0,f1_score,0.8670157068062827,validation,4,16,False,25,1.0,0.8,0,64,0.5,4
11.0,accuracy_score,0.4804804804804805,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
11.0,recall_score,0.35129068462401797,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
11.0,precision_score,0.4049159120310479,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
11.0,f1_score,0.37620192307692313,validation,4,16,True,25,1.0,0.8,0,64,0.5,4
0.0,accuracy_score,0.8479678876066232,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
0.0,recall_score,0.8777908343125734,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
0.0,precision_score,0.7896405919661733,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
0.0,f1_score,0.8313856427378965,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
1.0,accuracy_score,0.823883592574009,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
1.0,recall_score,0.8519388954171563,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
1.0,precision_score,0.7631578947368421,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
1.0,f1_score,0.8051082731815657,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
2.0,accuracy_score,0.8665328650275966,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
2.0,recall_score,0.9710906701708278,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
2.0,precision_score,0.8694117647058823,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
2.0,f1_score,0.9174425822470516,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
3.0,accuracy_score,0.7937782237832414,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
3.0,recall_score,0.735357917570499,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
3.0,precision_score,0.8023668639053254,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
3.0,f1_score,0.767402376910017,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
4.0,accuracy_score,0.5122930255895635,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
4.0,recall_score,0.37142857142857144,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
4.0,precision_score,0.5815295815295816,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
4.0,f1_score,0.453318335208099,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
5.0,accuracy_score,0.8489713998996488,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
5.0,recall_score,0.9291417165668663,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
5.0,precision_score,0.801894918173988,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
5.0,f1_score,0.8608414239482202,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
6.0,accuracy_score,0.845960863020572,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
6.0,recall_score,0.8313679245283019,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
6.0,precision_score,0.8112773302646721,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
6.0,f1_score,0.8211997670355271,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
7.0,accuracy_score,0.46011038635223284,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
7.0,recall_score,0.30834213305174235,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
7.0,precision_score,0.40953716690042075,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
7.0,f1_score,0.3518072289156627,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
8.0,accuracy_score,0.5052684395383843,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
8.0,recall_score,0.3330529857022708,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
8.0,precision_score,0.6723259762308998,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
8.0,f1_score,0.44544431946006746,validation,5,32,True,25,1.0,0.8,0,64,0.5,4
9.0,accuracy_score,0.8770697441043652,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
9.0,recall_score,0.919436052366566,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
9.0,precision_score,0.8469387755102041,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
9.0,f1_score,0.8816996619990343,validation,5,32,False,25,1.0,0.8,0,64,0.5,4
